H;07536553000102    ;20201006;20230315
V;07954091000496    ;252359                                            ;E;33975             ;600000         ;20210602;20210525
V;                  ;204189                                            ;E;10075             ;520000         ;20210602;20210519
V;                  ;74203                                             ;E;731               ;240000         ;20210602;20210527
V;                  ;74203                                             ;E;731               ;240000         ;20210602;20210527
V;                  ;74203                                             ;E;366               ;120000         ;20210602;20210527
V;                  ;74203                                             ;E;731               ;240000         ;20210602;20210527
V;                  ;74203                                             ;E;1097              ;360000         ;20210602;20210527
V;                  ;74203                                             ;E;866               ;120000         ;20210602;20210527
V;                  ;74203                                             ;E;433               ;60000          ;20210602;20210527
V;                  ;74203                                             ;E;104               ;12000          ;20210602;20210527
V;                  ;74203                                             ;E;1226              ;150000         ;20210602;20210527
V;                  ;74203                                             ;E;1226              ;150000         ;20210602;20210527
V;                  ;74203                                             ;E;471               ;60000          ;20210602;20210527
V;                  ;74203                                             ;E;245               ;30000          ;20210602;20210527
V;                  ;74203                                             ;E;245               ;30000          ;20210602;20210527
V;                  ;74203                                             ;E;975               ;180000         ;20210602;20210527
V;                  ;74203                                             ;E;455               ;84000          ;20210602;20210527
V;                  ;74203                                             ;E;455               ;84000          ;20210602;20210527
V;                  ;74203                                             ;E;750               ;120000         ;20210602;20210527
V;                  ;74203                                             ;E;1304              ;120000         ;20210602;20210527
V;                  ;74201                                             ;E;6186              ;63000          ;20210602;20210527
V;                  ;74201                                             ;E;7861              ;200000         ;20210602;20210527
V;                  ;74201                                             ;E;11136             ;80000          ;20210602;20210527
V;                  ;74201                                             ;E;23110             ;160000         ;20210602;20210527
V;                  ;74202                                             ;E;11555             ;80000          ;20210602;20210527
V;                  ;74202                                             ;E;6347              ;40000          ;20210602;20210527
V;                  ;74202                                             ;E;3231              ;18000          ;20210602;20210527
V;                  ;74202                                             ;E;3525              ;18000          ;20210602;20210527
V;                  ;74202                                             ;E;3383              ;40000          ;20210602;20210527
V;                  ;74202                                             ;E;13154             ;300000         ;20210602;20210527
V;                  ;74202                                             ;E;6507              ;39000          ;20210602;20210527
